ds,yhat,yhat_lower,yhat_upper
2024-02-25,112004.94722584201,-34263.218797792375,244202.25053924354
2024-02-26,86694.57763611125,-43788.62881151834,236599.36349298037
2024-02-27,93089.58034245773,-51252.47272023818,226344.4943875518
2024-02-28,101453.97753576691,-30750.28555336122,236298.57946357198
2024-02-29,78355.38931265452,-59373.16063185965,210630.37573131977
2024-03-01,71503.71519591002,-61552.49082328193,211854.17189854555
2024-03-02,82417.32726281276,-59685.95058920752,221583.1361497843
2024-03-03,111679.01829588244,-23682.757403476175,247335.77541141867
2024-03-04,86368.64870612067,-65158.733226575634,221977.6675982779
2024-03-05,92763.65141245745,-50237.23610769985,238431.19788516345
2024-03-06,101128.04860587085,-37714.93585662084,252111.29661651506
2024-03-07,78029.4603827861,-63115.47881227981,222021.30117065532
2024-03-08,71177.78627048954,-58196.32865356385,215652.60034620724
2024-03-09,82091.39834193337,-57364.98876937229,209306.42509923055
